date,Mac,Windows,version,citations.googlescholar,citations.added.per.month
01/01/2012,30,0,0.9,10,
01/02/2012,66,0,0.9,NA,
01/03/2012,28,0,0.9,NA,
01/03/2012,44,0,0.9.2,NA,
01/04/2012,39,0,0.9.2,NA,
01/05/2012,70,48,1.0.0,NA,
01/06/2012,35,58,1.0.0,NA,
01/07/2012,41,54,1.0.0,NA,
01/08/2012,107,190,1.0.1,NA,
01/09/2012,68,95,1.0.1,NA,
01/10/2012,62,65,1.0.1,NA,
01/11/2012,50,76,1.0.1,NA,
01/12/2012,62,126,1.0.1,NA,
01/01/2013,88,1075,1.0.1,NA,
01/02/2013,72,252,1.0.1,NA,
01/03/2013,108,152,1.0.1,NA,
01/04/2013,100,127,1.0.1,NA,
01/05/2013,59,68,1.0.1,NA,
01/05/2013,51,50,1.1.0,NA,
01/06/2013,50,58,1.1.0,NA,
01/06/2013,101,86,1.1.1,49,
01/07/2013,96,114,1.1.1,56,7
01/08/2013,94,119,1.1.1,63,7
01/09/2013,188,104,1.1.1,77,14
